DATE,CONTROL #,INVOICE #,BILLED TO,ADDRESS,STREET SIDE,SIDEWALK   CURB     MONO       H/C RAMP GUTTER   DRIVEWAY    STREET CUT,LENGTH IN FEET,WIDTH,# of Ramps,YARDS,Plates/Str,Plates/Radius,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8,Unnamed Column 9,DATE INSPECTED,Unnamed Column 10
10/30/2018 12:00:00 AM,15819497,10639951,Street,730 W Howe Street,NE Corner,Mono,80,5,,4.5,,,,,,,,,,,,,,
11/07/2018 12:00:00 AM,13041501,10643278,Street,730 W Howe Street,Maple,Mono,26,5,,2,,,,,,,,,,,,,,
03/15/2018 12:00:00 AM,13714726,10526029,Street,1201 E 3rd Street,Same,Ramp,10,8,1,2,,,,,,,,,,,,,,
03/07/2018 12:00:00 AM,13714473,10523188,Street,E. 2nd Street & S High Street,NE Corner,Ramp,14,6,1,3,,4,,,,,,,,,,,,
03/13/2018 12:00:00 AM,13714636,10524985,Street,2106 E 2nd Street,SE Corner,Ramp,14,6,1,2,,4,,,,,,,,,,,,
05/31/2018 12:00:00 AM,15816228,10559591,Street,2864 E. Buick Cadillac Rd,SW Corner/ Automall,Ramp,10,11,1,1.5,,6,,,,,,,,,,,,
05/31/2018 12:00:00 AM,15816228,10559591,Street,2864 E. Buick Cadillac Rd,SE Corner/Automall,Ramp,10,11,1,1.5,2,4,,,,,,,,,,,,
06/20/2018 12:00:00 AM,13715389,10568859,Street,432 S Clifton,SW Corner,Ramp,8,6,1,0.5,,3,,,,,,,,,,,,
06/18/2018 12:00:00 AM,13715389,10568859,Street,1926 E Atwater,NW Corner,Ramp,16,8,1,1.5,,,,,,,,,,,,,,
06/20/2018 12:00:00 AM,15716647,10570284,Street,402 S Eastside Drive,SW Corner,Ramp,10,6,1,1,,5,,,,,,,,,,,,
